 ,Label,Area,Mean,Min,Max,%Area
168,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0168-0807:1,0.106,255.000,255,255,100.000
169,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0169-0808:1,0.072,255.000,255,255,100.000
170,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0170-0811:1,0.068,255.000,255,255,100.000
171,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0171-0812:1,0.089,255.000,255,255,100.000
172,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0172-0815:1,0.304,88.542,0,255,34.722
173,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0173-0814:1,0.123,255.000,255,255,100.000
174,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0174-0814:1,0.038,255.000,255,255,100.000
175,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0175-0815:1,0.042,0.000,0,0,0.000
176,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0176-0820:1,0.106,255.000,255,255,100.000
177,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0177-0821:1,0.135,167.344,0,255,65.625
178,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0178-0823:1,0.110,255.000,255,255,100.000
179,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0179-0824:1,0.093,11.591,0,255,4.545
180,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0180-0826:1,0.190,90.667,0,255,35.556
181,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0181-0827:1,0.152,255.000,255,255,100.000
182,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0182-0830:1,0.131,255.000,255,255,100.000
183,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0183-0829:1,0.068,127.500,0,255,50.000
184,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0184-0831:1,0.131,222.097,0,255,87.097
185,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0185-0830:1,0.093,0.000,0,0,0.000
186,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0186-0830:1,0.110,255.000,255,255,100.000
187,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0187-0831:1,0.068,255.000,255,255,100.000
188,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0188-0833:1,0.258,129.590,0,255,50.820
189,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0189-0834:1,0.152,233.750,0,255,91.667
190,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0190-0838:1,0.215,220.000,0,255,86.275
191,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0191-0838:1,0.025,170.000,0,255,66.667
192,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0192-0840:1,0.110,0.000,0,0,0.000
